"Provinsi","Jumlah Penduduk","Tahun"
"Aceh","5554.8","2024"
"Sumatera Utara","15588.5","2024"
"Sumatera Barat","5836.2","2024"
"Riau","6728.1","2024"
"Kep. Riau","2183.3","2024"
"Jambi","3724.3","2024"
"Sumatera Selatan","8837.3","2024"
"Kep. Bangka Belitung","1531.5","2024"
"Bengkulu","2112.2","2024"
"Lampung","9419.6","2024"
"DKI Jakarta","10684.9","2024"
"Jawa Barat","50345.2","2024"
"Banten","12431.4","2024"
"Jawa Tengah","37892.3","2024"
"DI Yogyakarta","3759.5","2024"
"Jawa Timur","41814.5","2024"
"Kalimantan Barat","5695.5","2024"
"Kalimantan Tengah","2809.7","2024"
"Kalimantan Selatan","4273.4","2024"
"Kalimantan Timur","4045.9","2024"
"Kalimantan Utara","739.8","2024"
"Sulawesi Utara","2701.8","2024"
"Gorontalo","1227.8","2024"
"Sulawesi Tengah","3121.8","2024"
"Sulawesi Selatan","9463.4","2024"
"Sulawesi Barat","1503.2","2024"
"Sulawesi Tenggara","2793.1","2024"
"Bali","4433.3","2024"
"Nusa Tenggara Barat","5646","2024"
"Nusa Tenggara Timur","5656","2024"
"Maluku","1945.6","2024"
"Maluku Utara","1355.6","2024"
"Papua Barat","1205.8","2024"
"Papua","4542.6","2024"
"Indonesia","281603.8","2024"
