"Provinsi","Februari","Agustus"
"ACEH","4053274","4087130"
"SUMATERA UTARA","11379312","11464615"
"SUMATERA BARAT","4381225","4415082"
"RIAU","4901469","4946203"
"JAMBI","2766571","2787107"
"SUMATERA SELATAN","6532328","6579733"
"BENGKULU","1573688","1585001"
"LAMPUNG","7053575","7096219"
"KEP. BANGKA BELITUNG","1158553","1166368"
"KEP. RIAU","1605851","1620200"
"DKI JAKARTA","8339082","8364827"
"JAWA BARAT","38426026","38670392"
"JAWA TENGAH","29559766","29712182"
"DI YOGYAKARTA","3012983","3024059"
"JAWA TIMUR","33059069","33193131"
"BANTEN","9315260","9388269"
"BALI","3506930","3519886"
"NUSA TENGGARA BARAT","4097069","4133780"
"NUSA TENGGARA TIMUR","3986990","4024179"
"KALIMANTAN BARAT","4242849","4272809"
"KALIMANTAN TENGAH","2111635","2126309"
"KALIMANTAN SELATAN","3139067","3165076"
"KALIMANTAN TIMUR","3030406","3106306"
"KALIMANTAN UTARA","555547","559623"
"SULAWESI UTARA","2089734","2099157"
"SULAWESI TENGAH","2298593","2316608"
"SULAWESI SELATAN","7197866","7251384"
"SULAWESI TENGGARA","2010288","2027779"
"GORONTALO","927022","932926"
"SULAWESI BARAT","1079582","1090111"
"MALUKU","1443383","1453486"
"MALUKU UTARA","986900","997042"
"PAPUA BARAT","423656","424691"
"PAPUA BARAT DAYA","465828","469512"
"PAPUA","713336","717198"
"PAPUA SELATAN","327939","329497"
"PAPUA TENGAH","1091275","1094879"
"PAPUA PEGUNUNGAN","1153918","1158412"
"INDONESIA","213997845","215371168"
