"Provinsi","2021","2022","2023","2024"
"Aceh","5409.2","5334.9","5274.9","5554.8"
"Sumatera Utara","15180.5","14970.5","14799.4","15588.5"
"Sumatera Barat","5677.6","5597.3","5534.5","5836.2"
"Riau","6555.8","6466.8","6394.1","6728.1"
"Kep. Riau","2121.5","2089.9","2064.6","2183.3"
"Jambi","3633.2","3586.4","3548.2","3724.3"
"Sumatera Selatan","8647.3","8548.6","8467.4","8837.3"
"Kep. Bangka Belitung","1492.0","1471.8","1455.7","1531.5"
"Bengkulu","2059.4","2032.4","2010.7","2112.2"
"Lampung","4496.6","4438.6","9007.8","9419.6"
"DKI Jakarta","10640.0","10605.4","10562.1","10684.9"
"Jawa Barat","49306.8","48738.8","48274.2","50345.2"
"Banten","12167.0","12023.0","11904.6","12431.4"
"Jawa Tengah","37180.4","36811.1","36516.0","37892.3"
"DI Yogyakarta","3712.6","3687.8","3668.7","3759.5"
"Jawa Timur","41230.0","40921.1","40665.7","41814.5"
"Kalimantan Barat","5549.7","5474.7","5414.4","5695.5"
"Kalimantan Tengah","2737.2","2700.1","2670.0","2809.7"
"Kalimantan Selatan","4170.2","4116.9","4073.6","4273.4"
"Kalimantan Timur","3856.8","3803.5","3766.0","4045.9"
"Kalimantan Utara","720.1","710.0","701.8","739.8"
"Sulawesi Utara","2660.8","2639.5","2621.9","2701.8"
"Gorontalo","1198.4","1183.5","1171.7","1227.8"
"Sulawesi Tengah","3051.2","3015.0","2985.7","3121.8"
"Sulawesi Selatan","9260.1","9156.9","9073.5","9463.4"
"Sulawesi Barat","1458.9","1436.7","1419.2","1503.2"
"Sulawesi Tenggara","2704.6","2659.9","2624.9","2793.1"
"Bali","4374.3","4343.4","4317.4","4433.3"
"Nusa Tenggara Barat","5474.0","5387.2","5320.1","5646"
"Nusa Tenggara Timur","5481.8","5394.4","5325.6","5656"
"Maluku","1895.1","1869.5","1848.9","1945.6"
"Maluku Utara","1318.5","1299.6","1282.9","1355.6"
"Papua Barat","1168.4","1149.4","1134.1","1205.8"
"Papua","4429.7","4356.8","4303.7","4542.6"
